doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path,source_path,source_sha256,source_mime
01f24cc5475e859ceadf3ea2fa83b428f0ca7dbc38ce229d41403b9f4ce4fefa,01f24cc5475e859ceadf3ea2fa83b428f0ca7dbc38ce229d41403b9f4ce4fefa,ca14175760ce2f8590cb547aeccdcfdb904e9934570af69a2fe081df938e6f10,Эверделл,ru,data/rules_texts_cleaned_good/01f24cc5475e859ceadf3ea2fa83b428f0ca7dbc38ce229d41403b9f4ce4fefa.txt,data/rules_files/Everdell_Rulebook_ru_web.pdf,895f0de46e0e78f07a1c53886c582533b275b1dc45cbd8392961cb4728c803ae,application/pdf
027dfb2bc8160abaa2f004ba820c83c509d0631c91d06289b738b9d82d537b34,027dfb2bc8160abaa2f004ba820c83c509d0631c91d06289b738b9d82d537b34,b2b3608dfae49eca9f8ec86c9d77e9c8b18fe490f282ee628c86fb82e22c4013,Роскошь. Дуэль,ru,data/rules_texts_cleaned_good/027dfb2bc8160abaa2f004ba820c83c509d0631c91d06289b738b9d82d537b34.txt,data/rules_files/Правила игры Роскошь Дуэль.pdf,0c03236f1a8e458e0b17caaabf05b4feee6ba1af6104d5d7c00f743032d4d3e5,application/pdf
02dba6f214ca1647a6e6ac94d2ec4f56780190a8add14dabfd249f9c94341429,02dba6f214ca1647a6e6ac94d2ec4f56780190a8add14dabfd249f9c94341429,e456dadac602a613f0b7d92f38d854de5765e7b5fe0d4d31bb1568c2b891eade,Аргент. Совет магов,ru,data/rules_texts_cleaned_good/02dba6f214ca1647a6e6ac94d2ec4f56780190a8add14dabfd249f9c94341429.txt,data/rules_files/Argent-Rulebook-RU03_compressed.pdf,cfb2d5c6c873f54288108b8945261eb0594e4912a8f06c805867423302be2f96,application/pdf
0319c7d2b5c2f0729fdbcffb9529b65c490b51eaeb73ecdcce94c44ee90abbb5,0319c7d2b5c2f0729fdbcffb9529b65c490b51eaeb73ecdcce94c44ee90abbb5,347f57364b25516d98657aad09f150b5ffd7cdda9625bc1be42fdd02d8e67c1e,А.Д.Е.Л.Ь.,ru,data/rules_texts_cleaned_good/0319c7d2b5c2f0729fdbcffb9529b65c490b51eaeb73ecdcce94c44ee90abbb5.txt,data/rules_files/adele_rules.pdf,4ac2fa791ff30f5b88138722de87969d74beb00a5f8a3b9d722a9cd297689ec4,application/pdf
032d51e65cc2bff680af79b014eacb73611a4e5dce1f93c8651fb0253295fa5d,032d51e65cc2bff680af79b014eacb73611a4e5dce1f93c8651fb0253295fa5d,6b2b2b495ee590ae9759685c009e67cca027c2e77e502869767d51833bea132b,Runebound,ru,data/rules_texts_cleaned_good/032d51e65cc2bff680af79b014eacb73611a4e5dce1f93c8651fb0253295fa5d.txt,data/rules_files/Runebound_rulebook_3rd.pdf,f7abc1c5972966582e9b44cf74c918809d788c7523bcac5aa505ddc563c3b195,application/pdf
032f404547d71cfc75516159b63f7e7720af9a86cce57a233ae3c85610c60abd,032f404547d71cfc75516159b63f7e7720af9a86cce57a233ae3c85610c60abd,19190b3358f59e6cae0306c77828a5c954f7b2f1cd0121ced3caa466f678e110,Повелитель Токио: Хэллоуин,ru,data/rules_texts_cleaned_good/032f404547d71cfc75516159b63f7e7720af9a86cce57a233ae3c85610c60abd.txt,data/rules_files/halloween.pdf,cb23b82120c9edfd2cca21c171b6899fbe483ac1c75646682b68239068ba2e06,application/pdf
033779ab5049c3a2b55b7ce214c1787180fe98d05e117fc53880a94c42a5b9c4,033779ab5049c3a2b55b7ce214c1787180fe98d05e117fc53880a94c42a5b9c4,ad7e30eb216020c15d47c4a31c5ecb96d71dfc217e9c808479ea6424192f8dff,Каркассон: Таверны и соборы,ru,data/rules_texts_cleaned_good/033779ab5049c3a2b55b7ce214c1787180fe98d05e117fc53880a94c42a5b9c4.txt,data/rules_files/Kakasson_taverni_rules.pdf,44f339cb34628deefbc51ffda48d9310470a3a47d88007df264f2f9b80904640,application/pdf
033f0ae343afbcfcd64dd34cab17b32d708260691da50d1aacd5d504ed4b9e42,033f0ae343afbcfcd64dd34cab17b32d708260691da50d1aacd5d504ed4b9e42,7355d0416ebe98ecbf5627f44d69749cb8f54093e9d620203a6c806a5fc2c2c0,Дом Павлова,ru,data/rules_texts_cleaned_good/033f0ae343afbcfcd64dd34cab17b32d708260691da50d1aacd5d504ed4b9e42.txt,data/rules_files/dom_pavlova_rules_compressed (1).pdf,bfa4671e105dd2e8632137fb3ef7b32fbc325f9e55cf2c7e8e9ff560d3abe3f9,application/pdf
0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa,0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa,07edd5147f68bb72503d31f72dc30c8e610cac3cd024103d2a76f288af708484,Эверделл: Жемчужный ручей. Делюкс,ru,data/rules_texts_cleaned_good/0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa.txt,data/rules_files/Everdell_Ruchei_Deluxe_Pravila.pdf,ebbdf02ae20bad85a05f29f5c9c2df62dc6a5bc75efe21de139b41a6ec87461a,application/pdf
0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555,0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555,2c9d75cc1c5c38949980027378d58795214e5d6a4e6216bbde99fcf094bbb0bc,Вечная зима. Верные друзья,ru,data/rules_texts_cleaned_good/0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555.txt,data/rules_files/6609.pdf,a1bfe1740900114d36b0cb1ea5088dee03af59863c8127f9391472e107754daf,application/pdf
035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35,035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35,bf5459bfc3851c2aac799ea34eee76feae2195dda18231fe9486831a67f3c627,"Нет уж, спасибо!",ru,data/rules_texts_cleaned_good/035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35.txt,data/rules_files/net_uzh_Rules.pdf,b1cd1b1a0eab05c8405e4561cf9efd69793b4911ae5aceec421a54394b9b71bb,application/pdf
038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548,038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548,ee163002c205220869b994f9d63187d5ac0988ad7aa45eaaf71bd185f9e135e9,Остров викингов,ru,data/rules_texts_cleaned_good/038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548.txt,data/rules_files/ostrov-vikingov-rules.pdf,5bbbd1f3905c74264603721aeb88457018ce44a5301716299a6fee07c30532a2,application/pdf
03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528,03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528,dd5c0f0dfc5710a211b5f9c26fd74b3dc08d0f3bb0dafcf905624b852630b8d6,Сквайр,ru,data/rules_texts_cleaned_good/03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528.txt,data/rules_files/Сквайр.pdf,d04c34754e28c33d6b7aabe17b9d77bf98c56d569f992f88cf0479370e90820f,application/pdf
03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6,03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6,139db1d73c3dad366c315d6610195d688d7a4d9c3b37f60311d6e4d4bd03a3d9,Костюмонстры,ru,data/rules_texts_cleaned_good/03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6.txt,data/rules_files/kostumonstri-rules.pdf,91b041f93fcce0afcc05ecce370493cb9e92edf1c202f02180dedbf1661eedaf,application/pdf
0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d,0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d,3db7709b492ebfc233e3f270806a641f10f5fed36f48e13473f72aa784b26892,Криптиды. В поисках мифических существ. Острова,ru,data/rules_texts_cleaned_good/0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d.txt,data/rules_files/kriptidi-ostrova-rules.pdf,dbe0c8da427e8a03aad398f79b4300ff77eef98b2c382ad6bd2f4c7000c1cc28,application/pdf
044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d,044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d,bbd8d4d34cdae8bd62c0015c1d936a27eff0d792fbe66a0d64f2731ad3593958,Dice Forge: Rebellion,en,data/rules_texts_cleaned_good/044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d.txt,data/rules_files/dice-forge-rebellion-rules.pdf,13cc877202f23f50eb07546d6b7e53e2f7f706bef195447cf0a51805dae44716,application/pdf
