doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path
82fc0b122c4dd4e7a426799711cb90c85a9c99ca55c7760ddd22fd306c7b148a,82fc0b122c4dd4e7a426799711cb90c85a9c99ca55c7760ddd22fd306c7b148a,01cdaac00a87eeca4f19b6171303fa399ec4dfb1b2c5c8364a18fcf222c61647,Жми Лося,ru,data/rules_texts_cleaned_good/82fc0b122c4dd4e7a426799711cb90c85a9c99ca55c7760ddd22fd306c7b148a.txt
8303337040bb28c80ab0d00fa3343a1b6dffa6f0ccbf8c373c2cee0edc5cfd94,8303337040bb28c80ab0d00fa3343a1b6dffa6f0ccbf8c373c2cee0edc5cfd94,5ad06c2956178c428912af88a92f33ce7c092b847a152a893de2622c4d970c52,Лондон,ru,data/rules_texts_cleaned_good/8303337040bb28c80ab0d00fa3343a1b6dffa6f0ccbf8c373c2cee0edc5cfd94.txt
83077adaf3406caa11753a3c33e6360b7c33a8c0fcdc7e460b630cb3a3e52f4f,83077adaf3406caa11753a3c33e6360b7c33a8c0fcdc7e460b630cb3a3e52f4f,bb6880f30269c389477570a13378ad1ee8ca52f70a9d5903645c9f8105405d9b,Долина торговцев,ru,data/rules_texts_cleaned_good/83077adaf3406caa11753a3c33e6360b7c33a8c0fcdc7e460b630cb3a3e52f4f.txt
830b4f69a16b1e6e1602175ffb30ed1209aee230c40ce4fac87b8fff64cb530c,830b4f69a16b1e6e1602175ffb30ed1209aee230c40ce4fac87b8fff64cb530c,ccb4a949e196cb91627317bed51dde15e6b1695435df8344d84624996a2548b3,Челюсти,ru,data/rules_texts_cleaned_good/830b4f69a16b1e6e1602175ffb30ed1209aee230c40ce4fac87b8fff64cb530c.txt
830e5a94749ef091b672d9074649da5e3e5bc0b5f78b4f1bf83ef2c0fe5c603c,830e5a94749ef091b672d9074649da5e3e5bc0b5f78b4f1bf83ef2c0fe5c603c,19b70a4156c7b98f3c53155511abfda1e8afcd8168336495541fc829faac1ef5,"Покорение Марса. Экспедиция ""Арес"". Первооткрыватели",ru,data/rules_texts_cleaned_good/830e5a94749ef091b672d9074649da5e3e5bc0b5f78b4f1bf83ef2c0fe5c603c.txt
8343e70bf7fb856272628d7fa214124fd1c3d474584ad1f734cff97559ed4634,8343e70bf7fb856272628d7fa214124fd1c3d474584ad1f734cff97559ed4634,b46cd9ad31a47ef02687e965bd8366306f9653daa79b0a7f4a854fc73dc66e5c,Корни. Речное братство,ru,data/rules_texts_cleaned_good/8343e70bf7fb856272628d7fa214124fd1c3d474584ad1f734cff97559ed4634.txt
83677166ecf73c85d2fdedccc8ad0dc20472118bc4a863c8ea90df9e5400a0b5,83677166ecf73c85d2fdedccc8ad0dc20472118bc4a863c8ea90df9e5400a0b5,bbfe196f38766c1698397443fc70026a68e682967847a11a4a058a11b54ab60c,Детектив. Первый сезон,ru,data/rules_texts_cleaned_good/83677166ecf73c85d2fdedccc8ad0dc20472118bc4a863c8ea90df9e5400a0b5.txt
837ed537d7f8b7304f45095dcdbb4b9e397f7ffff419b9095c81884632d3d3b1,837ed537d7f8b7304f45095dcdbb4b9e397f7ffff419b9095c81884632d3d3b1,d0560b009d0c792ccc186d1470d5057f8c52b8dd6ecc6d947cb46a93dde7c380,Сопротивление,ru,data/rules_texts_cleaned_good/837ed537d7f8b7304f45095dcdbb4b9e397f7ffff419b9095c81884632d3d3b1.txt
83842a2a42ee0b1559a576b40939e380250b79c4e71a6fe50ed8155f04a13c2a,83842a2a42ee0b1559a576b40939e380250b79c4e71a6fe50ed8155f04a13c2a,748197a12a5c5e4285d7b442831cc6fffee5c5b6f92cd7173cf7e87157faa9a8,Энергосеть (старое издание),ru,data/rules_texts_cleaned_good/83842a2a42ee0b1559a576b40939e380250b79c4e71a6fe50ed8155f04a13c2a.txt
839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e,839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e,bf3f02166ef46466bfe4d2f6a3d3d0fd540f0001fcd4500919d896cc34ae698a,Имаджинариум,ru,data/rules_texts_cleaned_good/839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e.txt
