doc_sha256,pdf_filename,pdf_url,text_path,primary_title,lang
1036b42cd0733912c6301e4c934e496b9b5449e646a78b68fcd0e145db8d667a,Manchkin_bites_rules-web_2015.pdf,https://www.mosigra.ru/download/Правила/Manchkin_bites_rules-web_2015.pdf,data/rules_texts/1036b42cd0733912c6301e4c934e496b9b5449e646a78b68fcd0e145db8d667a.txt,Манчкин Вампирский,ru
9916456c856d3b1b4fd4701ab4bd84fb1a530bc96bc4f33eaf86fc031434314e,basny.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/401/581/basny.pdf,data/rules_texts/9916456c856d3b1b4fd4701ab4bd84fb1a530bc96bc4f33eaf86fc031434314e.txt,Башня,ru
ab6bbb03cbe3fca8bf56acfd69ff3ff47b710e7dcaf31fd9ab3a5941cc7d9ba2,8715_Rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/546/532/8715_Rules.pdf,data/rules_texts/ab6bbb03cbe3fca8bf56acfd69ff3ff47b710e7dcaf31fd9ab3a5941cc7d9ba2.txt,Цивилизация от начала времён,ru
e8d48f9c26dffa0594bf94553f337be68f8d82650b85abb155e5994ef96dadd2,Rick_Morty_Anatomic_Park.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/561/682/Rick_Morty_Anatomic_Park.pdf,data/rules_texts/e8d48f9c26dffa0594bf94553f337be68f8d82650b85abb155e5994ef96dadd2.txt,Рик и Морти: Анатомический парк (2021),ru
fa9c110e4472b8ce8cf3daa37c2542641b9fea34279b996b04c0345f2f3ce4e4,Machi Koro_Sharp_rules-web.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/558/654/Machi Koro_Sharp_rules-web.pdf,data/rules_texts/fa9c110e4472b8ce8cf3daa37c2542641b9fea34279b996b04c0345f2f3ce4e4.txt,Мачи Коро Шарп,ru
557ed4e00d10568e89b9e0dae600c7b56f036447ff4f1c3a33e8ede17bf76117,svintus-polnij-farsh-rules.pdf,https://www.mosigra.ru/download/rules/svintus-polnij-farsh-rules.pdf,data/rules_texts/557ed4e00d10568e89b9e0dae600c7b56f036447ff4f1c3a33e8ede17bf76117.txt,Свинтус: Полный фарш [Предзаказ],ru
46917f13edd3d87aa3811b1cd1639b91ba77302ae900cba721bd687ae15ddcb9,AHC66 Campaign Guide RU2023-print_compressed.pdf,https://www.mosigra.ru/download/Правила/AHC66 Campaign Guide RU2023-print_compressed.pdf,data/rules_texts/46917f13edd3d87aa3811b1cd1639b91ba77302ae900cba721bd687ae15ddcb9.txt,Ужас Аркхэма. Карточная игра: Наследие Данвича. Кампания,ru
fd002bd4a9998dbbc1fca05338260671358b10e9805e873ba53fa36c1adab130,everdell-dalnij-bereg-zabitie-kladi-rules.pdf,https://www.mosigra.ru/download/rules/everdell-dalnij-bereg-zabitie-kladi-rules.pdf,data/rules_texts/fd002bd4a9998dbbc1fca05338260671358b10e9805e873ba53fa36c1adab130.txt,Эверделл: Дальний берег. Забытые клады,ru
f00b41a3c11de0596d5a3e660a93e9b5594c58cb2996f8d0a679604cabbea2f8,rules-loscutnoe-rancho.pdf,https://www.mosigra.ru/download/rules/rules-loscutnoe-rancho.pdf,data/rules_texts/f00b41a3c11de0596d5a3e660a93e9b5594c58cb2996f8d0a679604cabbea2f8.txt,Лоскутное ранчо,ru
eadb67e71a406dcc43d50d7c7f22264620c7020dc1539169039b723d325d26ac,Pravila_Vedmin_Krug.pdf,https://www.mosigra.ru/download/Правила/Pravila_Vedmin_Krug.pdf,data/rules_texts/eadb67e71a406dcc43d50d7c7f22264620c7020dc1539169039b723d325d26ac.txt,Ведьмин круг,ru
