raw_doc_sha256,clean_sha256,clean_text_path,lang,pdf_filename,pdf_url,text_path,raw_len,clean_len,survival_ratio,paragraphs_total,paragraphs_bad,paragraphs_bad_ratio,quarantine
04b3bd9c7c72123847139cded5b3a26462286cb3b6777aa43930923bf1cd89bc,a0367411175089a3a164041aee24060d8cbf0909c17fa1367798abf6c3e4f7a1,data/rules_texts_cleaned_good/04b3bd9c7c72123847139cded5b3a26462286cb3b6777aa43930923bf1cd89bc.txt,ru,Monopoly_Adventure_Time_rules.pdf,https://www.mosigra.ru/download/Правила/Monopoly_Adventure_Time_rules.pdf,data/rules_texts/04b3bd9c7c72123847139cded5b3a26462286cb3b6777aa43930923bf1cd89bc.txt,12739,12553,0.9854,15,2,0.1333,0
04b736460ca77ede4a9c1a8115fa44d18b0a0ee781d0c2aae78e34453832aeec,70c856c2694d53ee48a56a887a302ae427529c63b7ea403bd606e74e9d365229,data/rules_texts_cleaned_good/04b736460ca77ede4a9c1a8115fa44d18b0a0ee781d0c2aae78e34453832aeec.txt,ru,pandorum.pdf,https://www.mosigra.ru/download/Правила/pandorum.pdf,data/rules_texts/04b736460ca77ede4a9c1a8115fa44d18b0a0ee781d0c2aae78e34453832aeec.txt,23729,22205,0.9358,33,2,0.0606,0
04e4aebc1bc7027a417e41cb48dd25c2140e10a73d8e286cd1159d0739d11a25,69207166522a5892e0b5252e803cf5878ac2fd5f41a0aeeaecd771ca165e64f8,data/rules_texts_cleaned_good/04e4aebc1bc7027a417e41cb48dd25c2140e10a73d8e286cd1159d0739d11a25.txt,ru,Robin_good_i_bravie_rebiata_rules.pdf,https://www.mosigra.ru/download/Правила/Robin_good_i_bravie_rebiata_rules.pdf,data/rules_texts/04e4aebc1bc7027a417e41cb48dd25c2140e10a73d8e286cd1159d0739d11a25.txt,60978,59391,0.974,150,16,0.1067,0
050db4f1c9b0a2d717eba0ac262fdc509b8eccdc4590a1a1576791a8544e9ff3,747b99bd22918216ef5f3697f7f52c2cc5a9350b4537c1be969a10bf9c5fe426,data/rules_texts_cleaned_good/050db4f1c9b0a2d717eba0ac262fdc509b8eccdc4590a1a1576791a8544e9ff3.txt,ru,bubble-crossover-new-rules.pdf,https://www.mosigra.ru/download/rules/bubble-crossover-new-rules.pdf,data/rules_texts/050db4f1c9b0a2d717eba0ac262fdc509b8eccdc4590a1a1576791a8544e9ff3.txt,11486,10064,0.8762,8,0,0.0,0
05111ddb5e3c6b592378f78d07a33cec0eb1128556ad16e9b25d5768c357292c,f47d7612d71190ad54c80c119b3c5126674bcbb590b19c17dc86411f7fe546d0,data/rules_texts_cleaned_good/05111ddb5e3c6b592378f78d07a33cec0eb1128556ad16e9b25d5768c357292c.txt,ru,Jarost_elfof.pdf,https://www.mosigra.ru/download/Правила/Jarost_elfof.pdf,data/rules_texts/05111ddb5e3c6b592378f78d07a33cec0eb1128556ad16e9b25d5768c357292c.txt,25815,25508,0.9881,220,15,0.0682,0
0522bdc2784ce221c3b3d098e0fe9771571b6cf75411da357ab7f3684e9622b2,44b7ad20103c86f4e2e9cc86dfa57a7399cf823deda83a75ebd25c826433f09a,data/rules_texts_cleaned_good/0522bdc2784ce221c3b3d098e0fe9771571b6cf75411da357ab7f3684e9622b2.txt,ru,micro_macro_rules.pdf,https://www.mosigra.ru/download/Правила/micro_macro_rules.pdf,data/rules_texts/0522bdc2784ce221c3b3d098e0fe9771571b6cf75411da357ab7f3684e9622b2.txt,8076,8002,0.9908,8,0,0.0,0
0542f115e691365f8bf727cbc4d07add4739d99fc31fa852cd90c4131322137c,b754aba8fd3b22eff60486767cbb76644a5572c427e8b9e69eac3eab86f263f6,data/rules_texts_cleaned_good/0542f115e691365f8bf727cbc4d07add4739d99fc31fa852cd90c4131322137c.txt,ru,kladovaia_drakona.pdf,https://www.mosigra.ru/download/Правила/kladovaia_drakona.pdf,data/rules_texts/0542f115e691365f8bf727cbc4d07add4739d99fc31fa852cd90c4131322137c.txt,12712,12296,0.9673,12,0,0.0,0
056fbbb5f6131577cc0aec8ca65fb3ef50a2c6c77f65fb6619ea65050e409f61,4d78e1cd121b4eae6b28cdb390327a9cf453a2ec44e10a4b6f4574e19d17e373,data/rules_texts_cleaned_quarantine/056fbbb5f6131577cc0aec8ca65fb3ef50a2c6c77f65fb6619ea65050e409f61.txt,ru,Munchkin10_Rules.pdf,https://www.mosigra.ru/download/Правила/Munchkin10_Rules.pdf,data/rules_texts/056fbbb5f6131577cc0aec8ca65fb3ef50a2c6c77f65fb6619ea65050e409f61.txt,2786,1291,0.4634,2,0,0.0,1
058132919ac2885f6aed48449758f801a85af61ec1348089b07010ba6b7928ab,0a030251443a5f71c5c4d8d2707d73f11cd64e8363334f91d43a94b6c82bfb39,data/rules_texts_cleaned_good/058132919ac2885f6aed48449758f801a85af61ec1348089b07010ba6b7928ab.txt,ru,jolly_rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/531/908/jolly_rules.pdf,data/rules_texts/058132919ac2885f6aed48449758f801a85af61ec1348089b07010ba6b7928ab.txt,7952,6963,0.8756,83,13,0.1566,0
0586e2b320a572dca8a667bd85e0446ae57f1ca6a32204c7cd289ba12072ea42,c71ce9d8b697e38231a3f114967018a19b443c5c6de85e01abb0d166207c40eb,data/rules_texts_cleaned_good/0586e2b320a572dca8a667bd85e0446ae57f1ca6a32204c7cd289ba12072ea42.txt,ru,war_of_the_outer_gods_rules.pdf,https://www.mosigra.ru/download/Правила/war_of_the_outer_gods_rules.pdf,data/rules_texts/0586e2b320a572dca8a667bd85e0446ae57f1ca6a32204c7cd289ba12072ea42.txt,40839,38444,0.9414,60,0,0.0,0
