game_url,title,pdf_url,pdf_filename
https://www.mosigra.ru/puzirkovie-istorii/,Пузырьковые истории,https://www.mosigra.ru/download/rules/puzirkovie-istorii-rules.pdf,puzirkovie-istorii-rules.pdf
https://www.mosigra.ru/graviti-folz-beskonechnoe-leto/,Гравити Фолз: Бесконечное лето,https://www.mosigra.ru/download/Правила/Gravity-Falls-Beskonechnoe-Leto_Rules.pdf,Gravity-Falls-Beskonechnoe-Leto_Rules.pdf
https://www.mosigra.ru/graviti-folz-spasti-puhlju/,Гравити Фолз. Спасти Пухлю,https://www.mosigra.ru/download/Правила/Gravity_Falls_Spasti_Puhlyu_Rules.pdf,Gravity_Falls_Spasti_Puhlyu_Rules.pdf
https://www.mosigra.ru/karkasson-abbatstvo-i-mer/,Каркассон. Аббатство и мэр,https://www.mosigra.ru/download/Правила/Pravila_Karkasson_abbatstvo_mer_compressed.pdf,Pravila_Karkasson_abbatstvo_mer_compressed.pdf
https://www.mosigra.ru/igra-prestolov-pir-voronov/,Игра престолов. Пир воронов,https://www.mosigra.ru/image/data/mosigra.product.other/544/348/Igra_Prestolov_2e_Pir_Voronov_rules_web.pdf,Igra_Prestolov_2e_Pir_Voronov_rules_web.pdf
https://www.mosigra.ru/pixel-tactics/,Пиксель тактикс,https://www.mosigra.ru/download/Правила/Pixel_Tactics_1_Rules.pdf,Pixel_Tactics_1_Rules.pdf
https://www.mosigra.ru/kriptidi-v-poiskah-mificheskih-sushhestv-ostrova/,Криптиды. В поисках мифических существ. Острова,https://www.mosigra.ru/download/rules/kriptidi-ostrova-rules.pdf,kriptidi-ostrova-rules.pdf
https://www.mosigra.ru/process-1920/,Процесс 1920,https://www.mosigra.ru/download/rules/process-1920-rules.pdf,process-1920-rules.pdf
https://www.mosigra.ru/zemlja/,Земля,https://www.mosigra.ru/download/rules/zemlja-rules.pdf,zemlja-rules.pdf
https://www.mosigra.ru/legendi-jefirii/,Легенды Эфирии,https://www.mosigra.ru/download/rules/legendy-efirii-rules.pdf,legendy-efirii-rules.pdf
https://www.mosigra.ru/gribnie-mesta/,Грибные места,https://www.mosigra.ru/download/Правила/Правила игры Грибные места (Wonder Woods).pdf,Правила игры Грибные места (Wonder Woods).pdf
https://www.mosigra.ru/pjat-plemen-dzhinni-nakali/,Пять племён: Джинны Накалы,https://www.mosigra.ru/download/rules/pjat-plemen-dzhinni-nakali-rules.pdf,pjat-plemen-dzhinni-nakali-rules.pdf
https://www.mosigra.ru/idealnij-kadr/,Идеальный кадр,https://www.mosigra.ru/download/Правила/picture_perfect_rules.pdf,picture_perfect_rules.pdf
https://www.mosigra.ru/prizrachnie-chernila/,Призрачные чернила,https://www.mosigra.ru/download/rules/prizrachnie-chernila-rules.pdf,prizrachnie-chernila-rules.pdf
https://www.mosigra.ru/unmatched-bitva-legend-tom-vtoroj/,Unmatched. Битва легенд. Том второй,https://www.mosigra.ru/download/rules/unmatched-tom2.pdf,unmatched-tom2.pdf
https://www.mosigra.ru/sirnie-mishki/,Сырные мышки,https://www.mosigra.ru/download/rules/sirnie-mishki-rules.pdf,sirnie-mishki-rules.pdf
https://www.mosigra.ru/vlastiteli/,Властители,https://www.mosigra.ru/download/rules/vlastiteli-2-players-rules.pdf,vlastiteli-2-players-rules.pdf
https://www.mosigra.ru/zames-strazhi-fantastiki/,Замес: Стражи фантастики,https://www.mosigra.ru/download/rules/zames-strazhi-fantastiki-rules.pdf,zames-strazhi-fantastiki-rules.pdf
https://www.mosigra.ru/tajnij-graal/,Тайный Грааль,https://www.mosigra.ru/download/rules/tajnij-graal-rules.pdf,tajnij-graal-rules.pdf
https://www.mosigra.ru/zakoldovannaja-bashnja/,Заколдованная башня,https://www.mosigra.ru/download/rules/rules-zakoldovannaya-bashnia.pdf,rules-zakoldovannaya-bashnia.pdf
https://www.mosigra.ru/perekati-jozhik-i-druzja/,Перекати-ёжик и друзья,https://www.mosigra.ru/download/rules/perekati-jozhik-i-druzja-rules.pdf,perekati-jozhik-i-druzja-rules.pdf
https://www.mosigra.ru/kolonizatori-junior/,Колонизаторы Junior,https://www.mosigra.ru/download/rules/catan-junior-rules.pdf,catan-junior-rules.pdf
https://www.mosigra.ru/mopsi-sladkoezhki/,Мопсы-сладкоежки,https://www.mosigra.ru/download/rules/mopsi-sladkojezhki-rules.pdf,mopsi-sladkojezhki-rules.pdf
https://www.mosigra.ru/poiski-planeti-x/,Поиски планеты X,https://www.mosigra.ru/download/Правила/PX_Rulebook_RU web.pdf,PX_Rulebook_RU web.pdf
https://www.mosigra.ru/jevoljucija-jeffekt-babochki/,Эволюция: Новый мир. Эффект бабочки,https://www.mosigra.ru/download/Правила/butterfly_effect_rules.pdf,butterfly_effect_rules.pdf
https://www.mosigra.ru/sad-alisi/,Сад Алисы,https://www.mosigra.ru/download/rules/sad-alisi-rules.pdf,sad-alisi-rules.pdf
